,name,price,rating,features
187,Fastrack Astor FS1 Pro Smartwatch,"₹2,585",,"Bluetooth, Bluetooth Calling, 1.97 inches Touch Display, Water Resistant, IP68, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Pedometer, Sleep Monitor, Step Count, 5 days Battery"
188,Pebble Edge Smartwatch,"₹4,999",,"Bluetooth, Bluetooth Calling, 2.01 inches Touch Display, Water Resistant, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Pedometer, Sleep Monitor, Step Count, Alarm Clock, Stopwatch, Reminder, Timer"
189,Huawei Watch GT 5 46mm,"₹19,999",61,"Wi-Fi, Bluetooth 5.2, NFC, Bluetooth Calling, 1.43 inches Touch Display, Water Resistant, 50 m, 5ATM, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Pedometer, Sleep Monitor, Calorie Count, Step Count, 7 days Battery"
190,Cult Velocity Smartwatch,"₹3,299",54,"Bluetooth, GPS, Bluetooth Calling, 1.43 inches Touch Display, Water Resistant, IP68, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Pedometer, Sleep Monitor, Calorie Count, Step Count, ARM Cortex M4 Processor CPU"
191,boAt Wave Astra 3 Smartwatch,"₹1,699",,"Bluetooth 5.2, Bluetooth Calling, 1.83 inches Touch Display, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Pedometer, Sleep Monitor, Step Count, 7 days Battery, Alarm Clock, Stopwatch, Reminder, Timer"
192,Xiaomi Watch S4,"₹22,999",72,"Wi-Fi, Bluetooth 5.3, GPS, NFC, Voice Calling, 1.43 inches Touch Display, Water Resistant, 5ATM, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Altimeter, Pedometer, Sleep Monitor, Calorie Count, Step Count, 15 days Battery"
193,Pebble Mettle Pro Smartwatch,"₹2,999",,"Bluetooth 5.0, Bluetooth Calling, 1.38 inches Touch Display, Water Resistant, IP67, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Pedometer, Sleep Monitor, Calorie Count, Step Count, 5 days Battery"
194,Pebble Ultra Rapid Smartwatch,"₹1,699",,"Bluetooth 5.1, Bluetooth Calling, 1.83 inches Touch Display, Water Resistant, IP67, Heart Rate Monitor, Pedometer, Sleep Monitor, Calorie Count, Step Count, 5 days Battery, Alarm Clock, Stopwatch, Reminder, Timer"
195,Samsung Galaxy Watch 7 Bluetooth 44mm,"₹32,999",,"Wi-Fi, Bluetooth 5.3, GPS, NFC, Bluetooth Calling, 2 GB RAM, 32 GB Inbuilt, 1.47 inches Touch Display, Water Resistant, 50 m, IP68, MIL-STD-810H, Dust Proof, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Blood Pressure Monitor"
196,Samsung Galaxy Watch 7 Bluetooth 40mm,"₹28,999",,"Wi-Fi, Bluetooth 5.3, GPS, NFC, Bluetooth Calling, 2 GB RAM, 32 GB Inbuilt, 1.31 inches Touch Display, Water Resistant, 50 m, IP68, MIL-STD-810H, Dust Proof, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Blood Pressure Monitor"
197,Fastrack Dezire FX1 Pro Smartwatch,"₹3,299",50,"Bluetooth, Bluetooth Calling, 1.43 inches Touch Display, Water Resistant, IP68, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Pedometer, Sleep Monitor, Calorie Count, Step Count, 5 days Battery"
198,Pebble Dome Smartwatch,"₹2,999",,"Bluetooth 5.1, Bluetooth Calling, 1.52 inches Touch Display, Water Resistant, 10 m, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Pedometer, Sleep Monitor, Calorie Count, Step Count, 5 days Battery"
199,Fire Boltt Dapper Smartwatch,"₹1,999",50,"Bluetooth, Bluetooth Calling, 2.2 inches Touch Display, Water Resistant, IP68, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Pedometer, Sleep Monitor, Calorie Count, Step Count, 7 days Battery"
200,boAt Storm Call 4 Smartwatch,"₹1,699",,"Bluetooth 5.1, Bluetooth Calling, 1.83 inches Touch Display, Water Resistant, IP67, Dust Proof, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Pedometer, Sleep Monitor, Step Count"
201,Fire Boltt Apollo 4 Smartwatch,"₹1,999",52,"Bluetooth 5.0, Bluetooth Calling, 1.43 inches Touch Display, Water Resistant, 1 m, IP68, Dust Proof, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Pedometer, Sleep Monitor, Calorie Count, Step Count"
202,Cellecor M4 Rush Smartwatch,₹999,51,"Bluetooth 5.2, GPS, Bluetooth Calling, 1.91 inches Touch Display, Water Resistant, IP67, Dust Proof, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Pedometer, Sleep Monitor, Step Count"
203,Apple Watch Series 10 42mm (GPS+Cellular),"₹50,900",,"Wi-Fi, Bluetooth 5.3, GPS, NFC, 3G, 4G, Voice Calling, 64 GB Inbuilt, 1.53 inches Touch Display, Water Resistant, 50 m, WR50, IP6X, Scratch Resistant, Dust Proof, Heart Rate Monitor"
204,boAt Storm Call 3 Smartwatch,"₹1,199",,"Bluetooth, GPS, Bluetooth Calling, 1.83 inches Touch Display, Water Resistant, IP67, Dust Proof, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Pedometer, Sleep Monitor, Step Count"
205,Itel ‎2 Ultra Smartwatch,"₹1,799",,"Bluetooth, Bluetooth Calling, 2 inches Touch Display, Water Resistant, IP68, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Pedometer, Sleep Monitor, Step Count, 12 days Battery"
206,Fire Boltt Stellaris Smartwatch,"₹1,999",,"Bluetooth 5.0, Bluetooth Calling, 1.78 inches Touch Display, Water Resistant, 1 m, IP68, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Pedometer, Sleep Monitor, Step Count, Alarm Clock, Stopwatch, Reminder, Timer"
207,Boult Crown Pro Smartwatch,"₹1,499",,"Bluetooth 5.3, Bluetooth Calling, 2.01 inches Touch Display, Water Resistant, 1 m, IP67, Dust Proof, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Pedometer, Sleep Monitor, Step Count"
208,Noise Airtel Payments Bank Smartwatch,"₹2,999",,"Bluetooth, NFC, Bluetooth Calling, 1.85 inches Touch Display, Water Resistant, IP68, Dust Proof, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Pedometer, Sleep Monitor, Step Count"
209,Honor Watch GS 4,"₹14,999",68,"Bluetooth 5.0, GPS, NFC, Bluetooth Calling, 1.43 inches Touch Display, Water Resistant, 50 m, 5ATM, Dust Proof, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Pedometer, Sleep Monitor, Calorie Count, Step Count"
210,Cellecor Vision M10 Smartwatch,"₹1,299",54,"Bluetooth, Bluetooth Calling, 2.01 inches Touch Display, Water Resistant, IP68, Dust Proof, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Pedometer, Sleep Monitor"
211,Noise ColorFit Caliber 4 Smartwatch,"₹1,999",53,"Bluetooth 5.3, Bluetooth Calling, 1.96 inches Touch Display, Water Resistant, IP68, Dust Proof, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Blood Pressure Monitor, Pedometer, Sleep Monitor, Calorie Count, Step Count"
212,Noise NoiseFit Evolve 5 Smartwatch,"₹2,999",53,"Bluetooth 5.3, Bluetooth Calling, 1.53 inches Touch Display, Water Resistant, 1.5 m, IP68, Dust Proof, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Blood Pressure Monitor, Pedometer, Sleep Monitor, Calorie Count, Step Count"
213,Noise ColorFit Vision 4 Smartwatch,"₹2,999",53,"Bluetooth 5.3, Bluetooth Calling, 1.98 inches Touch Display, Water Resistant, IP68, Dust Proof, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Blood Pressure Monitor, Pedometer, Sleep Monitor, Calorie Count, Step Count"
214,Noise ColorFit Pro 6 Max Smartwatch,"₹6,499",,"Bluetooth 5.3, Bluetooth Calling, 1.98 inches Touch Display, Water Resistant, IP68, Dust Proof, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Blood Pressure Monitor, Pedometer, Sleep Monitor, Calorie Count, Step Count"
215,Cellecor Twist M6 Smartwatch,"₹1,099",50,"Bluetooth, Bluetooth Calling, 2.01 inches Touch Display, Water Resistant, 1.5 m, IP68, Dust Proof, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Pedometer, Sleep Monitor, Calorie Count, Step Count"
216,Cellecor M2 Aqua Smartwatch,"₹1,099",,"Bluetooth, Bluetooth Calling, 1.83 inches Touch Display, Water Resistant, 1 m, IP68, Dust Proof, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Pedometer, Sleep Monitor, Calorie Count, Step Count"
217,Samsung Galaxy Watch 7 LTE 40mm,"₹33,999",,"Wi-Fi, Bluetooth 5.3, GPS, NFC, 3G, 4G, VoLTE, Voice Calling, 2 GB RAM, 32 GB Inbuilt, 1.31 inches Touch Display, Water Resistant, 50 m, IP68, MIL-STD-810H, Dust Proof, Heart Rate Monitor"
218,boAt Wave Sigma 3 Smartwatch,"₹1,249",,"Bluetooth, Bluetooth Calling, 2.01 inches Touch Display, Water Resistant, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Pedometer, Sleep Monitor, Calorie Count, Step Count, 10 days Battery"
219,Fastrack Revoltt FR1 Pro Smartwatch,"₹2,399",50,"Bluetooth 5.2, Bluetooth Calling, 1.3 inches Touch Display, Water Resistant, IP68, Dust Proof, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Pedometer, Sleep Monitor, Calorie Count, Step Count"
220,boAt Ultima Rise Smartwatch,"₹1,999",,"Bluetooth, Bluetooth Calling, 1.83 inches Touch Display, Water Resistant, IP67, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Pedometer, Sleep Monitor, Calorie Count, Step Count, Alarm Clock, Stopwatch, Reminder, Timer"
221,Xiaomi Watch 2,"₹17,999",55,"Wi-Fi, Bluetooth 5.2, NFC, Bluetooth Calling, 1.43 inches Touch Display, Water Resistant, 50 m, IP68, Dust Proof, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Pedometer, Sleep Monitor, Calorie Count, Step Count"
222,Motorola Moto Watch 40,"₹5,299",50,"Bluetooth 5.0, Bluetooth Calling, 1.57 inches Touch Display, Water Resistant, IP67, Dust Proof, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Pedometer, Sleep Monitor, Calorie Count, Step Count"
223,Garmin Forerunner 165 Smartwatch,"₹26,990",78,"Wi-Fi, Bluetooth, GPS, NFC, 4 GB Inbuilt, 1.2 inches Touch Display, Water Resistant, 50 m, 5 ATM, Dust Proof, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Altimeter, Pedometer, Sleep Monitor, Calorie Count, Step Count"
224,Melbon Active 2 Smartwatch,"₹1,394",52,"Bluetooth 5.3, Bluetooth Calling, 1.53 inches Touch Display, Water Resistant, 50 cm, Scratch Resistant, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Altimeter, Pedometer, Sleep Monitor, Calorie Count, Step Count"
225,Cellecor Blaze M9 Pro Smartwatch,₹999,,"Bluetooth, Bluetooth Calling, 2.01 inches Touch Display, Water Resistant, IP67, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, 7 days Battery, Alarm Clock, Stopwatch, Reminder, Timer"
226,Hammer Active 2.0 Plus Smartwatch,"₹1,641",,"Bluetooth 5.3, Bluetooth Calling, 2.1 inches Touch Display, Water Resistant, IP67, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Blood Pressure Monitor, Pedometer, Sleep Monitor, Calorie Count, Step Count, Alarm Clock, Stopwatch, Reminder, Timer"
227,Promate Xwatch R19 Smartwatch,"₹5,999",61,"Bluetooth 5.1, Bluetooth Calling, 1.53 inches Touch Display, Water Resistant, IP67, Scratch Resistant, Dust Proof, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Pedometer, Sleep Monitor, Calorie Count, Step Count"
228,Zeblaze Ares 3 Pro,"₹2,399",59,"Bluetooth 5.2, Bluetooth Calling, 1.43 inches Touch Display, Water Resistant, IP68, Scratch Resistant, Dust Proof, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Pedometer, Sleep Monitor, Calorie Count, Step Count"
229,Fire Boltt Elemento Smartwatch,"₹4,744",61,"Bluetooth, NFC, Bluetooth Calling, 1.95 inches Touch Display, Water Resistant, IP68, Scratch Resistant, Dust Proof, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Pedometer, Sleep Monitor, Calorie Count, Step Count"
230,Fire Boltt Huracan Smartwatch,"₹4,444",61,"Bluetooth, NFC, Bluetooth Calling, 1.95 inches Touch Display, Water Resistant, IP68, Scratch Resistant, Dust Proof, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Pedometer, Sleep Monitor, Calorie Count, Step Count"
231,Noise ColorFit Pro 6 Smartwatch,"₹5,998",55,"Bluetooth 5.3, Bluetooth Calling, 1.85 inches Touch Display, Water Resistant, 50 m, IP68, Dust Proof, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Pedometer, Sleep Monitor, Calorie Count, Step Count"
232,iQOO Watch,"₹12,999",70,"Bluetooth 5.2, GPS, NFC, Bluetooth Calling, 4 GB RAM, 64 MB Inbuilt, 1.43 inches Touch Display, Water Resistant, 50 m, 5ATM, Dust Proof, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor"
233,Fastrack Active Smartwatch,"₹3,995",,"Bluetooth 5.3, Bluetooth Calling, 1.83 inches Touch Display, Water Resistant, 1.5 m, IP68, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Pedometer, Sleep Monitor, Calorie Count, Step Count, 7 days Battery"
234,Fastrack Rogue Smartwatch,"₹1,799",,"Bluetooth 5.3, Bluetooth Calling, 1.38 inches Touch Display, Water Resistant, 1.5 m, IP68, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Pedometer, Sleep Monitor, Calorie Count, Step Count, 7 days Battery"
235,Fastrack Optimus Pro Smartwatch,"₹2,995",,"Bluetooth 5.2, Bluetooth Calling, 1.43 inches Touch Display, Water Resistant, IP68, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Pedometer, Sleep Monitor, Calorie Count, Step Count, 7 days Battery"
236,boAt Enigma Z20 Smartwatch,"₹2,499",50,"Bluetooth, Bluetooth Calling, 1.51 inches Touch Display, Water Resistant, IP67, Dust Proof, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Pedometer, Sleep Monitor, Calorie Count, Step Count"
237,boAt Enigma X400 Smartwatch,"₹8,499",59,"Bluetooth, Bluetooth Calling, 1.45 inches Touch Display, Water Resistant, IP67, Scratch Resistant, Dust Proof, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Pedometer, Sleep Monitor, Calorie Count, Step Count"
238,boAt Enigma Z40 Smartwatch,"₹2,499",50,"Bluetooth, Bluetooth Calling, 1.32 inches Touch Display, Water Resistant, IP67, Dust Proof, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Pedometer, Sleep Monitor, Calorie Count, Step Count"
239,Noise ColorFit Caliber Max Smartwatch,"₹1,499",,"Bluetooth, Bluetooth Calling, 1.85 inches Touch Display, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Pedometer, Sleep Monitor, Calorie Count, Step Count, 7 days Battery, Alarm Clock, Stopwatch, Reminder, Timer"
240,Xiaomi Redmi Watch 4,"₹8,799",57,"Bluetooth 5.3, GPS, Bluetooth Calling, 1.97 inches Touch Display, Water Resistant, 50 m, 5ATM, Dust Proof, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Pedometer, Sleep Monitor, Calorie Count, Step Count"
241,Cult Sports Ace XR Smartwatch,"₹2,099",51,"Bluetooth, Bluetooth Calling, 1.43 inches Touch Display, Water Resistant, IP68, Dust Proof, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Pedometer, Sleep Monitor, Calorie Count, Step Count"
242,Google Pixel Watch 3 (45mm),"₹35,990",,"Wi-Fi, Bluetooth 5.3, GPS, NFC, 4G, Bluetooth Calling, 2 GB RAM, 32 GB Inbuilt, 1.4 inches Touch Display, Water Resistant, 50 m, IP68, Scratch Resistant, Dust Proof, Heart Rate Monitor"
243,PunnkFunnk S9 Ultra Smartwatch,₹916,51,"Bluetooth 5.0, Bluetooth Calling, 512 MB RAM, 2 GB Inbuilt, 1.97 inches Touch Display, Water Resistant, 50 cm, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Calorie Count, Step Count"
244,Titan Crest Smartwatch,"₹4,999",52,"Bluetooth, Bluetooth Calling, 1.43 inches Touch Display, Water Resistant, Dust Proof, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Pedometer, Sleep Monitor, Calorie Count, Step Count"
245,Sekyo S2 Pro Smartwatch,"₹2,879",,"GPS, Voice Calling, 128 MB RAM, 128 MB Inbuilt, 1.42 inches Touch Display, Water Resistant, 10 m, IP67, Scratch Resistant, Dust Proof, Pedometer, Step Count, Alarm Clock, Stopwatch, Reminder, Timer"
246,boAt Lunar Tigon Smartwatch,"₹1,899",52,"Bluetooth, Bluetooth Calling, 1.43 inches Touch Display, Water Resistant, IP67, Dust Proof, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Pedometer, Sleep Monitor, Calorie Count, Step Count"
247,Xiaomi Watch S3,"₹9,199",68,"Wi-Fi, Bluetooth, GPS, NFC, Bluetooth Calling, 1.43 inches Touch Display, Water Resistant, 50 m, 5ATM, Dust Proof, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Altimeter, Pedometer, Sleep Monitor, Calorie Count, Step Count"
248,Croma Velocity AM Smartwatch,"₹2,799",50,"Bluetooth 5.2, Bluetooth Calling, 1.78 inches Touch Display, Water Resistant, IP68, Dust Proof, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Pedometer, Sleep Monitor, Calorie Count, Step Count"
249,Fastrack Revoltt Vigor Smartwatch,"₹1,999",,"Bluetooth 5.3, Bluetooth Calling, 1.91 inches Touch Display, Water Resistant, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Pedometer, Sleep Monitor, Calorie Count, Step Count, 7 days Battery"
250,Honor Watch 4 Pro,"₹20,999",71,"Bluetooth 5.2, GPS, NFC, Voice Calling, Bluetooth Calling, 1.5 inches Touch Display, Water Resistant, 50 m, 5ATM, Dust Proof, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Altimeter, Pedometer, Sleep Monitor, Calorie Count, Step Count"
251,Fire Boltt Diamond Smartwatch,"₹5,099",61,"Bluetooth, Bluetooth Calling, 4 GB Inbuilt, 1.43 inches Touch Display, Water Resistant, IP67, Dust Proof, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor"
252,Nervfit Intense Smartwatch,"₹1,509",55,"Bluetooth, Bluetooth Calling, 1.38 inches Touch Display, Water Resistant, IP67, Dust Proof, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Pedometer, Sleep Monitor, Calorie Count, Step Count"
253,Fire Boltt Expedition Smartwatch,"₹2,599",56,"Bluetooth 5.0, Bluetooth Calling, 1.39 inches Touch Display, Water Resistant, Scratch Resistant, Dust Proof, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Altimeter, Pedometer, Sleep Monitor, Calorie Count, Step Count"
254,Fastrack Revoltt Z1 Smartwatch,"₹1,499",,"Bluetooth 5.3, Bluetooth Calling, 1.91 inches Touch Display, Water Resistant, 1.5 m, Dust Proof, Heart Rate Monitor, Pedometer, Sleep Monitor, Calorie Count, Step Count, 7 days Battery"
255,beatXP Evoke Neo Smartwatch,"₹2,799",51,"Bluetooth, Bluetooth Calling, 1.43 inches Touch Display, Water Resistant, IP67, Dust Proof, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Pedometer, Sleep Monitor, Calorie Count, Step Count"
256,boAt Genesis Pro Smartwatch,"₹2,129",54,"Bluetooth 5.3, Bluetooth Calling, 1.96 inches Touch Display, Water Resistant, IP67, Dust Proof, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Pedometer, Sleep Monitor, Calorie Count, Step Count"
257,beatXP Marv Sense Smartwatch,"₹1,599",,"Bluetooth 5.3, Bluetooth Calling, 1.96 inches Touch Display, Water Resistant, IP67, Dust Proof, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Pedometer, Sleep Monitor, Calorie Count, Step Count"
258,beatXP Unbound Pro Smartwatch,"₹2,699",54,"Bluetooth 5.2, Bluetooth Calling, 1.96 inches Touch Display, Water Resistant, IP67, Dust Proof, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Pedometer, Sleep Monitor, Calorie Count, Step Count"
259,beatXP Nuke Smartwatch,"₹2,699",50,"Bluetooth, Bluetooth Calling, 1.32 inches Touch Display, Water Resistant, IP67, Dust Proof, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Pedometer, Sleep Monitor, Calorie Count, Step Count"
260,Fastrack Revoltt X Smartwatch,"₹1,399",,"Bluetooth 5.3, Bluetooth Calling, 1.83 inches Touch Display, Water Resistant, 1.5 m, Dust Proof, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Pedometer, Sleep Monitor, Calorie Count, Step Count"
261,boAt Genesis Pro Smartwatch,"₹2,129",54,"Bluetooth 5.3, Bluetooth Calling, 1.96 inches Touch Display, Water Resistant, IP67, Dust Proof, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Pedometer, Sleep Monitor, Calorie Count, Step Count"
262,boAt Lunar Mirage Smartwatch,"₹1,399",52,"Bluetooth, Bluetooth Calling, 1.52 inches Touch Display, Water Resistant, IP68, Dust Proof, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Pedometer, Sleep Monitor, Calorie Count, Step Count"
263,beatXP Nuke Smartwatch,"₹2,699",50,"Bluetooth, Bluetooth Calling, 1.32 inches Touch Display, Water Resistant, IP67, Dust Proof, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Pedometer, Sleep Monitor, Calorie Count, Step Count"
264,beatXP Marv Sense Smartwatch,₹999,,"Bluetooth 5.3, Bluetooth Calling, 1.96 inches Touch Display, Water Resistant, IP67, Dust Proof, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Pedometer, Sleep Monitor, Calorie Count, Step Count"
265,Cult Sport Ace X Smartwatch,"₹3,099",52,"Bluetooth 5.3, Bluetooth Calling, 1.96 inches Touch Display, Water Resistant, Dust Proof, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Pedometer, Sleep Monitor, Calorie Count, Step Count"
266,Garmin Tactix 7 Smartwatch,"₹91,599",,"Wi-Fi, Bluetooth, GPS, 32 GB Inbuilt, 1.4 inches Touch Display, Water Resistant, 100 m, 10 ATM, MIL-STD-810, Scratch Resistant, Dust Proof, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Altimeter, Pedometer, Sleep Monitor, Calorie Count, Step Count"
267,Hammer Luxor Smartwatch,"₹1,640",51,"Bluetooth 5.3, Bluetooth Calling, 1.45 inches Touch Display, Water Resistant, IP67, Dust Proof, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Blood Pressure Monitor, Pedometer, Sleep Monitor, Calorie Count, Step Count"
268,Apple Watch SE 2nd Gen 2023 40mm GPS,"₹24,900",,"Wi-Fi, Bluetooth 5.3, GPS, NFC, Bluetooth Calling, 32 GB Inbuilt, 1.6 inches Touch Display, Water Resistant, 50 m, IP68, Scratch Resistant, Dust Proof, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Blood Pressure Monitor"
269,Huawei Watch GT 4 41mm,"₹12,999",66,"Wi-Fi, Bluetooth 5.1, NFC, Bluetooth Calling, 1.32 inches Touch Display, Water Resistant, 50 m, 5ATM, Dust Proof, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Altimeter, Pedometer, Sleep Monitor, Calorie Count, Step Count"
270,Noise NoiseFit Grace Smartwatch,"₹2,099",,"Bluetooth 5.3, Bluetooth Calling, 1.1 inches Touch Display, Water Resistant, IP67, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Pedometer, Sleep Monitor, Calorie Count, Step Count, 4 days Battery"
271,Apple Watch Series 9 45mm (GPS+Cellular),"₹52,999",,"Wi-Fi, Bluetooth 5.3, GPS, NFC, 3G, 4G, Voice Calling, Bluetooth Calling, 64 GB Inbuilt, 1.77 inches Touch Display, Water Resistant, 50 m, WR50, IP6X, Scratch Resistant, Dust Proof, Heart Rate Monitor"
272,Apple Watch Series 9 45mm Stainless Steel (GPS + Cellular),"₹70,999",,"Wi-Fi, Bluetooth 5.3, GPS, NFC, 3G, 4G, Voice Calling, 64 GB Inbuilt, 1.77 inches Touch Display, Water Resistant, 50 m, WR50, IP6X, Scratch Resistant, Dust Proof, Heart Rate Monitor"
273,Apple Watch Series 9 41mm Stainless Steel (GPS + Cellular),"₹70,900",,"Wi-Fi, Bluetooth 5.3, GPS, NFC, 3G, 4G, Voice Calling, 64 GB Inbuilt, 1.61 inches Touch Display, Water Resistant, 50 m, WR50, IP6X, Scratch Resistant, Dust Proof, Heart Rate Monitor"
274,Apple Watch Series 9 45mm (GPS),"₹41,999",,"Wi-Fi, Bluetooth 5.3, GPS, NFC, Bluetooth Calling, 64 GB Inbuilt, 1.77 inches Touch Display, Water Resistant, 50 m, WR50, IP6X, Scratch Resistant, Dust Proof, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Blood Pressure Monitor"
275,Titan Smart 3.0 Smartwatch,"₹4,999",54,"Bluetooth 5.2, Bluetooth Calling, 1.96 inches Touch Display, Water Resistant, IP68, Dust Proof, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Pedometer, Sleep Monitor, Calorie Count, Step Count"
276,Wings Meta Smartwatch,₹829,,"Bluetooth 5.3, Bluetooth Calling, 1.85 inches Touch Display, Water Resistant, IP68, Dust Proof, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Pedometer, Sleep Monitor, Calorie Count, Step Count"
277,Garmin Forerunner 65 Smartwatch,"₹29,999",68,"Wi-Fi, Bluetooth, GPS, 1.2 inches Touch Display, Water Resistant, 50 m, Scratch Resistant, Dust Proof, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Pedometer, Sleep Monitor, Calorie Count, Step Count, 14 days Battery"
278,Xiaomi Watch S3 LTE,"₹11,999",71,"Wi-Fi, Bluetooth, GPS, NFC, 4G, Voice Calling, 1.43 inches Touch Display, Water Resistant, 50 m, 5ATM, Dust Proof, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor"
279,Maxima Max Pro Spire  Smartwatch,₹789,,"Bluetooth 5.0, Bluetooth Calling, 1.96 inches Touch Display, Water Resistant, IP67, Dust Proof, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Pedometer, Sleep Monitor, Calorie Count, Step Count"
280,Xiaomi Watch S3 LTE,"₹11,999",71,"Wi-Fi, Bluetooth, GPS, NFC, 4G, Voice Calling, 1.43 inches Touch Display, Water Resistant, 50 m, 5ATM, Dust Proof, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor"
281,Maxima Max Pro Spire  Smartwatch,₹789,,"Bluetooth 5.0, Bluetooth Calling, 1.96 inches Touch Display, Water Resistant, IP67, Dust Proof, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Pedometer, Sleep Monitor, Calorie Count, Step Count"
